ds,co2
1958-03-15,315.7
1958-04-15,317.45
1958-05-15,317.51
1958-06-15,316.685
1958-07-15,315.86
1958-08-15,314.93
1958-09-15,313.2
1958-10-15,313.265
1958-11-15,313.33
1958-12-15,314.67
1959-01-15,315.58
1959-02-15,316.48
1959-03-15,316.65
1959-04-15,317.72
1959-05-15,318.29
1959-06-15,318.15
1959-07-15,316.54
1959-08-15,314.8
1959-09-15,313.84
1959-10-15,313.33
1959-11-15,314.81
1959-12-15,315.58
1960-01-15,316.43
1960-02-15,316.98
1960-03-15,317.58
1960-04-15,319.03
1960-05-15,320.04
1960-06-15,319.59
1960-07-15,318.18
1960-08-15,315.9
1960-09-15,314.17
1960-10-15,313.83
1960-11-15,315.0
1960-12-15,316.19
1961-01-15,316.89
1961-02-15,317.7
1961-03-15,318.54
1961-04-15,319.48
1961-05-15,320.58
1961-06-15,319.77
1961-07-15,318.57
1961-08-15,316.79
1961-09-15,314.99
1961-10-15,315.31
1961-11-15,316.1
1961-12-15,317.01
1962-01-15,317.94
1962-02-15,318.55
1962-03-15,319.68
1962-04-15,320.57
1962-05-15,321.02
1962-06-15,320.62
1962-07-15,319.61
1962-08-15,317.4
1962-09-15,316.25
1962-10-15,315.42
1962-11-15,316.69
1962-12-15,317.7
1963-01-15,318.74
1963-02-15,319.07
1963-03-15,319.86
1963-04-15,321.38
1963-05-15,322.25
1963-06-15,321.48
1963-07-15,319.74
1963-08-15,317.77
1963-09-15,316.21
1963-10-15,315.99
1963-11-15,317.07
1963-12-15,318.35
1964-01-15,319.57
1964-02-15,320.2425
1964-03-15,320.91499999999996
1964-04-15,321.5875
1964-05-15,322.26
1964-06-15,321.89
1964-07-15,320.44
1964-08-15,318.69
1964-09-15,316.7
1964-10-15,316.87
1964-11-15,317.68
1964-12-15,318.71
1965-01-15,319.44
1965-02-15,320.44
1965-03-15,320.89
1965-04-15,322.14
1965-05-15,322.17
1965-06-15,321.87
1965-07-15,321.21
1965-08-15,318.87
1965-09-15,317.81
1965-10-15,317.3
1965-11-15,318.87
1965-12-15,319.42
1966-01-15,320.62
1966-02-15,321.6
1966-03-15,322.39
1966-04-15,323.7
1966-05-15,324.08
1966-06-15,323.75
1966-07-15,322.38
1966-08-15,320.36
1966-09-15,318.64
1966-10-15,318.1
1966-11-15,319.78
1966-12-15,321.03
1967-01-15,322.33
1967-02-15,322.5
1967-03-15,323.04
1967-04-15,324.42
1967-05-15,325.0
1967-06-15,324.09
1967-07-15,322.54
1967-08-15,320.92
1967-09-15,319.25
1967-10-15,319.39
1967-11-15,320.73
1967-12-15,321.96
1968-01-15,322.57
1968-02-15,323.15
1968-03-15,323.89
1968-04-15,325.02
1968-05-15,325.57
1968-06-15,325.36
1968-07-15,324.14
1968-08-15,322.11
1968-09-15,320.33
1968-10-15,320.25
1968-11-15,321.32
1968-12-15,322.89
1969-01-15,324.0
1969-02-15,324.42
1969-03-15,325.63
1969-04-15,326.66
1969-05-15,327.38
1969-06-15,326.71
1969-07-15,325.88
1969-08-15,323.66
1969-09-15,322.38
1969-10-15,321.78
1969-11-15,322.86
1969-12-15,324.12
1970-01-15,325.06
1970-02-15,325.98
1970-03-15,326.93
1970-04-15,328.13
1970-05-15,328.08
1970-06-15,327.67
1970-07-15,326.34
1970-08-15,324.69
1970-09-15,323.1
1970-10-15,323.06
1970-11-15,324.01
1970-12-15,325.13
1971-01-15,326.17
1971-02-15,326.68
1971-03-15,327.17
1971-04-15,327.79
1971-05-15,328.93
1971-06-15,328.57
1971-07-15,327.36
1971-08-15,325.43
1971-09-15,323.36
1971-10-15,323.56
1971-11-15,324.8
1971-12-15,326.01
1972-01-15,326.77
1972-02-15,327.63
1972-03-15,327.75
1972-04-15,329.72
1972-05-15,330.07
1972-06-15,329.09
1972-07-15,328.04
1972-08-15,326.32
1972-09-15,324.84
1972-10-15,325.2
1972-11-15,326.5
1972-12-15,327.55
1973-01-15,328.55
1973-02-15,329.56
1973-03-15,330.3
1973-04-15,331.5
1973-05-15,332.48
1973-06-15,332.07
1973-07-15,330.87
1973-08-15,329.31
1973-09-15,327.51
1973-10-15,327.18
1973-11-15,328.16
1973-12-15,328.64
1974-01-15,329.35
1974-02-15,330.71
1974-03-15,331.48
1974-04-15,332.65
1974-05-15,333.09
1974-06-15,332.25
1974-07-15,331.18
1974-08-15,329.39
1974-09-15,327.43
1974-10-15,327.37
1974-11-15,328.46
1974-12-15,329.57
1975-01-15,330.4
1975-02-15,331.4
1975-03-15,332.04
1975-04-15,333.31
1975-05-15,333.97
1975-06-15,333.6
1975-07-15,331.9
1975-08-15,330.06
1975-09-15,328.56
1975-10-15,328.34
1975-11-15,329.49
1975-12-15,330.76
1976-01-15,331.75
1976-02-15,332.56
1976-03-15,333.5
1976-04-15,334.58
1976-05-15,334.88
1976-06-15,334.33
1976-07-15,333.05
1976-08-15,330.94
1976-09-15,329.3
1976-10-15,328.94
1976-11-15,330.31
1976-12-15,331.68
1977-01-15,332.93
1977-02-15,333.42
1977-03-15,334.7
1977-04-15,336.07
1977-05-15,336.75
1977-06-15,336.27
1977-07-15,334.92
1977-08-15,332.75
1977-09-15,331.59
1977-10-15,331.16
1977-11-15,332.4
1977-12-15,333.85
1978-01-15,334.97
1978-02-15,335.39
1978-03-15,336.64
1978-04-15,337.76
1978-05-15,338.01
1978-06-15,337.89
1978-07-15,336.54
1978-08-15,334.68
1978-09-15,332.76
1978-10-15,332.54
1978-11-15,333.92
1978-12-15,334.95
1979-01-15,336.23
1979-02-15,336.76
1979-03-15,337.96
1979-04-15,338.88
1979-05-15,339.47
1979-06-15,339.29
1979-07-15,337.73
1979-08-15,336.09
1979-09-15,333.91
1979-10-15,333.86
1979-11-15,335.29
1979-12-15,336.73
1980-01-15,338.01
1980-02-15,338.36
1980-03-15,340.07
1980-04-15,340.76
1980-05-15,341.47
1980-06-15,341.17
1980-07-15,339.56
1980-08-15,337.6
1980-09-15,335.88
1980-10-15,336.02
1980-11-15,337.1
1980-12-15,338.21
1981-01-15,339.24
1981-02-15,340.48
1981-03-15,341.38
1981-04-15,342.5
1981-05-15,342.91
1981-06-15,342.25
1981-07-15,340.49
1981-08-15,338.43
1981-09-15,336.69
1981-10-15,336.86
1981-11-15,338.36
1981-12-15,339.61
1982-01-15,340.75
1982-02-15,341.61
1982-03-15,342.7
1982-04-15,343.57
1982-05-15,344.14
1982-06-15,343.35
1982-07-15,342.06
1982-08-15,339.81
1982-09-15,337.98
1982-10-15,337.86
1982-11-15,339.26
1982-12-15,340.49
1983-01-15,341.38
1983-02-15,342.52
1983-03-15,343.1
1983-04-15,344.94
1983-05-15,345.76
1983-06-15,345.32
1983-07-15,343.98
1983-08-15,342.38
1983-09-15,339.86
1983-10-15,339.99
1983-11-15,341.15
1983-12-15,342.99
1984-01-15,343.7
1984-02-15,344.5
1984-03-15,345.28
1984-04-15,347.05
1984-05-15,347.43
1984-06-15,346.8
1984-07-15,345.39
1984-08-15,343.28
1984-09-15,341.07
1984-10-15,341.35
1984-11-15,342.98
1984-12-15,344.22
1985-01-15,344.97
1985-02-15,345.99
1985-03-15,347.42
1985-04-15,348.35
1985-05-15,348.93
1985-06-15,348.25
1985-07-15,346.56
1985-08-15,344.67
1985-09-15,343.09
1985-10-15,342.8
1985-11-15,344.24
1985-12-15,345.56
1986-01-15,346.3
1986-02-15,346.95
1986-03-15,347.85
1986-04-15,349.55
1986-05-15,350.21
1986-06-15,349.55
1986-07-15,347.94
1986-08-15,345.9
1986-09-15,344.85
1986-10-15,344.17
1986-11-15,345.66
1986-12-15,346.9
1987-01-15,348.02
1987-02-15,348.48
1987-03-15,349.42
1987-04-15,350.98
1987-05-15,351.85
1987-06-15,351.26
1987-07-15,349.51
1987-08-15,348.1
1987-09-15,346.44
1987-10-15,346.36
1987-11-15,347.81
1987-12-15,348.96
1988-01-15,350.43
1988-02-15,351.73
1988-03-15,352.22
1988-04-15,353.59
1988-05-15,354.22
1988-06-15,353.79
1988-07-15,352.38
1988-08-15,350.43
1988-09-15,348.73
1988-10-15,348.88
1988-11-15,350.07
1988-12-15,351.34
1989-01-15,352.76
1989-02-15,353.07
1989-03-15,353.68
1989-04-15,355.42
1989-05-15,355.67
1989-06-15,355.12
1989-07-15,353.9
1989-08-15,351.67
1989-09-15,349.8
1989-10-15,349.99
1989-11-15,351.3
1989-12-15,352.52
1990-01-15,353.66
1990-02-15,354.7
1990-03-15,355.38
1990-04-15,356.2
1990-05-15,357.16
1990-06-15,356.23
1990-07-15,354.81
1990-08-15,352.91
1990-09-15,350.96
1990-10-15,351.18
1990-11-15,352.83
1990-12-15,354.21
1991-01-15,354.72
1991-02-15,355.75
1991-03-15,357.16
1991-04-15,358.6
1991-05-15,359.34
1991-06-15,358.24
1991-07-15,356.17
1991-08-15,354.02
1991-09-15,352.15
1991-10-15,352.21
1991-11-15,353.75
1991-12-15,354.99
1992-01-15,355.99
1992-02-15,356.72
1992-03-15,357.81
1992-04-15,359.15
1992-05-15,359.66
1992-06-15,359.25
1992-07-15,357.02
1992-08-15,355.0
1992-09-15,353.01
1992-10-15,353.31
1992-11-15,354.16
1992-12-15,355.4
1993-01-15,356.7
1993-02-15,357.17
1993-03-15,358.38
1993-04-15,359.46
1993-05-15,360.28
1993-06-15,359.6
1993-07-15,357.57
1993-08-15,355.52
1993-09-15,353.69
1993-10-15,353.99
1993-11-15,355.34
1993-12-15,356.8
1994-01-15,358.37
1994-02-15,358.91
1994-03-15,359.97
1994-04-15,361.26
1994-05-15,361.69
1994-06-15,360.94
1994-07-15,359.55
1994-08-15,357.48
1994-09-15,355.84
1994-10-15,356.0
1994-11-15,357.58
1994-12-15,359.04
1995-01-15,359.97
1995-02-15,361.0
1995-03-15,361.63
1995-04-15,363.45
1995-05-15,363.8
1995-06-15,363.26
1995-07-15,361.89
1995-08-15,359.45
1995-09-15,358.05
1995-10-15,357.75
1995-11-15,359.56
1995-12-15,360.7
1996-01-15,362.05
1996-02-15,363.24
1996-03-15,364.02
1996-04-15,364.71
1996-05-15,365.42
1996-06-15,364.97
1996-07-15,363.65
1996-08-15,361.48
1996-09-15,359.45
1996-10-15,359.61
1996-11-15,360.76
1996-12-15,362.33
1997-01-15,363.18
1997-02-15,363.99
1997-03-15,364.56
1997-04-15,366.36
1997-05-15,366.8
1997-06-15,365.63
1997-07-15,364.47
1997-08-15,362.5
1997-09-15,360.19
1997-10-15,360.78
1997-11-15,362.43
1997-12-15,364.28
1998-01-15,365.33
1998-02-15,366.15
